Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
ASW,2023,6,5,20/04/2023,No,Meeting Attendance of Nomination & Remuneration Committee,2.,NOPADOL ROMPHO,N/A,0 / 0,N/A,,
ASW,2023,6,5,20/04/2023,No,Meeting Attendance of Nomination & Remuneration Committee,3.,PANEETA MALAIVONGS,N/A,0 / 0,N/A,,
ASW,2023,6,5,20/04/2023,No,Meeting Attendance of Risk Management Committee,1.,SARAWUT CHARUCHINDA,N/A,0 / 0,N/A,,
ASW,2023,6,5,20/04/2023,No,Meeting Attendance of Risk Management Committee,2.,KOBKIAT TANANCHAYA,N/A,0 / 0,N/A,,
ASW,2023,6,5,20/04/2023,No,Meeting Attendance of Risk Management Committee,3.,KROMCHET VIPANPONG,N/A,0 / 0,N/A,,
ASW,2023,6,5,20/04/2023,No,Meeting Attendance of Corporate Governance Committee,1.,NOPADOL ROMPHO,N/A,0 / 0,N/A,,
ASW,2023,6,5,20/04/2023,No,Meeting Attendance of Corporate Governance Committee,2.,KROMCHET VIPANPONG,N/A,0 / 0,N/A,,
ASW,2023,6,5,20/04/2023,No,Meeting Attendance of Corporate Governance Committee,3.,WEERAPAN WIPANPONG,N/A,0 / 0,N/A,,
ASW,2024,5,4,23/04/2024,No,Meeting Attendance of the Board of Directors,1.,SARAWUT CHARUCHINDA,N/A,5 / 5,100.00,1 / 1,
ASW,2024,5,4,23/04/2024,No,Meeting Attendance of the Board of Directors,2.,KROMCHET VIPANPONG,N/A,5 / 5,100.00,1 / 1,
ASW,2024,5,4,23/04/2024,No,Meeting Attendance of the Board of Directors,3.,WEERAPAN WIPANPONG,N/A,5 / 5,100.00,1 / 1,
ASW,2024,5,4,23/04/2024,No,Meeting Attendance of the Board of Directors,4.,KRIENGKRAI BOONLERT-U-THAI,N/A,5 / 5,100.00,1 / 1,
ASW,2024,5,4,23/04/2024,No,Meeting Attendance of the Board of Directors,5.,PANEETA MALAIVONGS,N/A,5 / 5,100.00,1 / 1,
ASW,2024,5,4,23/04/2024,No,Meeting Attendance of the Board of Directors,6.,TIDARAT KANCHANAWAT,N/A,5 / 5,100.00,0 / 1,
ASW,2024,5,4,23/04/2024,No,Meeting Attendance of the Board of Directors,7.,NOPADOL ROMPHO,N/A,5 / 5,100.00,1 / 1,
ASW,2024,5,4,23/04/2024,No,Meeting Attendance of the Board of Directors,8.,KOBKIAT TANANCHAYA,N/A,5 / 5,100.00,1 / 1,
ASW,2024,5,4,23/04/2024,No,Meeting Attendance of the Board of Directors,9.,SUCHET RITTEEPHAMORN,N/A,5 / 5,100.00,1 / 1,
ASW,2024,5,4,23/04/2024,No,Meeting Attendance of Audit Committee,1.,KRIENGKRAI BOONLERT-U-THAI,N/A,4 / 4,100.00,,
ASW,2024,5,4,23/04/2024,No,Meeting Attendance of Audit Committee,2.,NOPADOL ROMPHO,N/A,4 / 4,100.00,,
ASW,2024,5,4,23/04/2024,No,Meeting Attendance of Audit Committee,3.,KOBKIAT TANANCHAYA,N/A,4 / 4,100.00,,
ASW,2024,5,4,23/04/2024,No,Meeting Attendance of Executive Committee,1.,KROMCHET VIPANPONG,N/A,72 / 72,100.00,,
ASW,2024,5,4,23/04/2024,No,Meeting Attendance of Executive Committee,2.,WEERAPAN WIPANPONG,N/A,72 / 72,100.00,,
ASW,2024,5,4,23/04/2024,No,Meeting Attendance of Executive Committee,3.,PANEETA MALAIVONGS,N/A,72 / 72,100.00,,
ASW,2024,5,4,23/04/2024,No,Meeting Attendance of Nomination & Remuneration Committee,1.,TIDARAT KANCHANAWAT,N/A,3 / 3,100.00,,
ASW,2024,5,4,23/04/2024,No,Meeting Attendance of Nomination & Remuneration Committee,2.,NOPADOL ROMPHO,N/A,3 / 3,100.00,,
ASW,2024,5,4,23/04/2024,No,Meeting Attendance of Nomination & Remuneration Committee,3.,PANEETA MALAIVONGS,N/A,3 / 3,100.00,,
ASW,2024,5,4,23/04/2024,No,Meeting Attendance of Risk Management Committee,1.,SARAWUT CHARUCHINDA,N/A,4 / 4,100.00,,
ASW,2024,5,4,23/04/2024,No,Meeting Attendance of Risk Management Committee,2.,KOBKIAT TANANCHAYA,N/A,4 / 4,100.00,,
ASW,2024,5,4,23/04/2024,No,Meeting Attendance of Risk Management Committee,3.,KROMCHET VIPANPONG,N/A,4 / 4,100.00,,
ASW,2024,5,4,23/04/2024,No,Meeting Attendance of Corporate Governance Committee,1.,NOPADOL ROMPHO,N/A,2 / 2,100.00,,
ASW,2024,5,4,23/04/2024,No,Meeting Attendance of Corporate Governance Committee,2.,KROMCHET VIPANPONG,N/A,2 / 2,100.00,,
ASW,2024,5,4,23/04/2024,No,Meeting Attendance of Corporate Governance Committee,3.,WEERAPAN WIPANPONG,N/A,2 / 2,100.00,,
ASW,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,SARAWUT CHARUCHINDA,N/A,5 / 5,100.00,1 / 1,
ASW,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,KROMCHET VIPANPONG,N/A,5 / 5,100.00,1 / 1,
ASW,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,3.,WEERAPAN WIPANPONG,N/A,5 / 5,100.00,1 / 1,
ASW,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,4.,KIENGKRAI BOONLERT U-THAAI,N/A,5 / 5,100.00,1 / 1,
ASW,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,5.,PANEETA MALAIVONGS,N/A,5 / 5,100.00,1 / 1,
ASW,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,6.,TIDARAT KANCHANAWAT,N/A,5 / 5,100.00,1 / 1,
ASW,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,7.,NOPADOL ROMPHO,N/A,5 / 5,100.00,1 / 1,
ASW,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,8.,KOBKIAT TANANCHAYA,N/A,5 / 5,100.00,1 / 1,
ASW,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,9.,SUCHET RITTEEPHAMORN,N/A,5 / 5,100.00,1 / 1,
ASW,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,1.,KIENGKRAI BOONLERT U-THAAI,N/A,4 / 4,100.00,,
ASW,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,2.,NOPADOL ROMPHO,N/A,4 / 4,100.00,,
ASW,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,3.,KOBKIAT TANANCHAYA,N/A,4 / 4,100.00,,
ASW,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,1.,KROMCHET VIPANPONG,N/A,56 / 56,100.00,,
ASW,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,2.,WEERAPAN WIPANPONG,N/A,56 / 56,100.00,,
ASW,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,3.,PANEETA MALAIVONGS,N/A,56 / 56,100.00,,
ASW,2025,N/A,N/A,N/A,No,Meeting Attendance of Nomination & Remuneration Committee,1.,TIDARAT KANCHANAWAT,N/A,3 / 3,100.00,,
ASW,2025,N/A,N/A,N/A,No,Meeting Attendance of Nomination & Remuneration Committee,2.,NOPADOL ROMPHO,N/A,3 / 3,100.00,,
ASW,2025,N/A,N/A,N/A,No,Meeting Attendance of Nomination & Remuneration Committee,3.,PANEETA MALAIVONGS,N/A,3 / 3,100.00,,
ASW,2025,N/A,N/A,N/A,No,Meeting Attendance of Risk Management Committee,1.,SARAWUT CHARUCHINDA,N/A,4 / 4,100.00,,
ASW,2025,N/A,N/A,N/A,No,Meeting Attendance of Risk Management Committee,2.,KOBKIAT TANANCHAYA,N/A,4 / 4,100.00,,
ASW,2025,N/A,N/A,N/A,No,Meeting Attendance of Risk Management Committee,3.,KROMCHET VIPANPONG,N/A,4 / 4,100.00,,
ASW,2025,N/A,N/A,N/A,No,Meeting Attendance of Corporate Governance Committee,1.,NOPADOL ROMPHO,N/A,2 / 2,100.00,,
ASW,2025,N/A,N/A,N/A,No,Meeting Attendance of Corporate Governance Committee,2.,KROMCHET VIPANPONG,N/A,2 / 2,100.00,,
ASW,2025,N/A,N/A,N/A,No,Meeting Attendance of Corporate Governance Committee,3.,WEERAPAN WIPANPONG,N/A,2 / 2,100.00,,
ASW,2026,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
ASW,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
ASW,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
